movie_id,movie_image,movie_title,genres,country,director,duration,movie_year,actors,description,action_link,movie_link,episode_links
1,https://cdn.upmovies.net/MV5BMmYxOGQ1N2EtMjQ1Yi00MjkyLWI0MmMtYmIwNTMwMDJiZWYwXkEyXkFqcGdeQXVyODc1MTA2MDk@._V1_SX300.jpg,Medusa's Venom,Horror,,Chase Martins,,2023,"May Kelly, Sarah T. Cohen, Becca Hirani","The beast is back and her venom is deadlier than ever. When newcomer Lola is welcomed into Medusa's circle, she endures a ritual to bring her closer to her new sisters.",https://upmovies.net/watch/zGWlRYld-medusa-s-venom.html,https://eplayvid.net/watch/08c177d51984fed,
2,https://cdn.upmovies.net/iw1PAF5.jpg,Venom,"Thriller, Horror",United States,Jim Gillespie,85 min,2005,"Agnes Bruckner, Jonathan Jackson, Laura Ramsey, D.J. Cotrona, Rick Cramer, Meagan Good, Bijou Phillips, Method Man","Storyline: Eric and his Yankee teenage mates travel South by motorbike to a swampy backwater town in Louisiana, where Sean's father Ray lived, the local tow truck driver, who abandoned the then baby-boy and his mother. Ray recently died, while trying to rescue a voodoo witch and at her urging her trunk, which got opened and released the poisonous serpents possessed by the souls of truly evil sinners she trapped in them. Ray was bitten and penetrated as the car sunk, and shortly after it's dragged out rises as an 'undead' zombie, who murders without provocation and is immune to lethal weapons. He soon finds the teens' trace and proves his indiscriminately evil blood-thirst by charging his only offspring equally lethally. However they were warned by Eden's friend Cece, the witch's granddaughter, who explained the situation in her home and assures them when the zombie...",https://upmovies.net/watch/wzdKw1d1-venom.html,https://voe.sx/e/oh1qpxpzgrze,
3,https://cdn.upmovies.net/MV5BNTU2YWI5M2QtZTU4Ny00NTYwLTg3MGQtODVlYWViMjNkMjllXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Venom (1981),"Horror, Thriller",United Kingdom,Piers Haggard,92 min,1981,"Klaus Kinski, Oliver Reed, Nicol Williamson, Sarah Miles",Terrorists who kidnap a child from a wealthy family are pursued by a deadly snake.,https://upmovies.net/watch/yGD79wx6-venom-1981.html,https://eplayvid.net/watch/2789567e4cebdb5,
4,https://cdn.upmovies.net/MV5BNzAwNzUzNjY4MV5BMl5BanBnXkFtZTgwMTQ5MzM0NjM@._V1_SX300.jpg,Venom (2018),"Action, Horror, Sci-Fi",United States,Ruben Fleischer,112 min,2018,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life.",https://upmovies.net/watch/ox1LZMvN-venom-2018.html,https://voe.sx/e/16fj400569fv,
5,https://cdn.upmovies.net/MV5BYTIyYTk3NTAtODQ5NS00MTY2LTk2ZTItMmY4ZjEyMjFhNzc1XkEyXkFqcGdeQXVyMTAwMjkwNDYz._V1_SX300.jpg,Venom 2011,Thriller,United States,Gary Breslin,92 min,2011,"Jessica Morris, Oliviah Crawford, Roberto 'Sanz' Sanchez, Israel Sáez de Miguel","After their car breaks down in an isolated desert, a mother and young daughter are relentlessly pursued by a deadly snake.",https://upmovies.net/watch/QG39KwWv-venom-2011.html,https://mixdrop21.net/e/1vn4lonvi7r8zx,
6,https://cdn.upmovies.net/MV5BYjI0MTFiYjQtMTdhNC00YzVlLWI1NDMtNDQ3MGNlMWZhZjU2XkEyXkFqcGdeQXVyMDY0NjA1MA@@._V1_SX300.jpg,Venom Coast,"Horror, Thriller",United States,Michael Fredianelli,93 min,2021,"Anthony Jan Potter, Carolyn Ford Compton, Kelly Ann Dunn, Kylie Brady",A group of friends are stalked by a family of killers on a vintage cruise ship.,https://upmovies.net/watch/wvnZloEv-venom-coast.html,https://voe.sx/e/q6evea24wgnd,
7,https://i.imgur.com/IAzt2cH.jpg,Venom Hunters: Season 1,"Adventure, Reality-TV",United States,,,2016,,"Follow ""Venom Hunters"" follows four brave teams of expert snake hunters who have the guts and skills to chase down the world's most venomous snakes and collect this highly toxic liquid. Each team has unique motivations and thrives on the thrill of the hunt, but they all share the same goal: saving the lives of others.",https://upmovies.net/watch/EvJDeRGW-venom-hunters-season-1.html,https://eplayvid.net/watch/3763f5f35d1f9e3,"https://eplayvid.net/watch/450f6915f935c2b, https://eplayvid.net/watch/adeb917c334e3e2, https://eplayvid.net/watch/26ed69f9296d3b3, https://eplayvid.net/watch/87e08c0a3837aad, https://eplayvid.net/watch/3763f5f35d1f9e3"
8,https://cdn.upmovies.net/MV5BMTg4OThjM2YtMTE0YS00ZDUzLWI3ZjItNjA0ZDRhODc1NTNhXkEyXkFqcGdeQXVyOTEyNjUyOTM@._V1_SX300.jpg,The Venom Interviews,Documentary,United States,Ray Morgan,114 min,2016,"Denisse Abreu, Carl Barden, Bill Becker","A crash course in the professional and scientific work related to the field of venomous herpetology. The film covers diverse topics, including biochemistry, biology, law and public policy, conservation, venom collection, animal hu...",https://upmovies.net/watch/oxQDOnyv-the-venom-interviews.html,https://eplayvid.net/watch/f70980774e2a849,
9,https://cdn.upmovies.net/MV5BOGYyMGQ3N2MtY2VkYi00NjQ1LWJmMzctNjAxMTIyZGI3ZjgwXkEyXkFqcGdeQXVyMjQ1NzY3MjQ@._V1_SX300.jpg,Red Venom Kills,Fantasy,United States,Britton Stebbins,84 min,2017,"Alexa Rae, Deana Hernandez, Britton Stebbins, David Bonandrini","Alluring young Scarlet Silk is a vengeful hooker gone crazy after her parents murder, and being stabbed several times. The audacious naughty teen changes her destiny near death by ...",https://upmovies.net/watch/wvnZyN6v-red-venom-kills.html,https://voe.sx/e/r8r2cwe90bt2,
10,https://cdn.upmovies.net/7MrFssV.jpg,Silent Venom,"Action, Horror, Sci-Fi, Thriller",United States,Fred Olen Ray,84 min,2009,"Luke Perry, Krista Allen, Tom Berenger",Deep in the jungle of a remote island in the Pacific lives a new breed of mutant snake. Dr. Andrea Swanson and her research assistant Jake have been studying the species in a top secret ...,https://upmovies.net/watch/zGWWm7GP-silent-venom.html,https://mixdrop21.net/e/848rrm6vi37pen,
