Poster URL,Title,Genres,Country,Director,Duration,Year,Actors,Description
https://cdn.upmovies.net/IKm6RDi.jpg,Avengers Grimm,"Action, Adventure, Fantasy, Sci-Fi",United States,Jeremy M. Inman,90 min,2015,"Casper Van Dien, Lauren Parkinson, Lou Ferrigno","When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses of ""Once Upon a Time""-Cinderella, Sleeping Beauty, Snow White, and Rapunzel-are sucked ..."
https://cdn.upmovies.net/HQdH4YA.jpg,Avengers Endgame,Talk-Show,N/A,N/A,N/A,2019,N/A,N/A
https://cdn.upmovies.net/8XbpajA.jpg,Avengers: Season 1,"Animation, Action, Adventure, Sci-Fi",France,,30 min,1999–2000,"Linda Ballantyne, Tony Daniels, Ron Rubin",The adventures of the Marvel Comics Universe's greatest general membership superhero team.
https://cdn.upmovies.net/MV5BODg1YmE2NTQtMGJjMy00N2MxLTgxZGEtN2FmYjk4OWNjODVkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Bikini Avengers,Comedy,United States,Dean McKendrick,N/A,2015,"Erika Jordan, Jacqui Holland, Sarah Hunter, Beverly Lynne","When the Jade Empress hatches a plan for world domination, it's up to crime-fighting duo Bikini Avenger and Thong Girl to stop her and her nefarious minions."
"https://cdn.upmovies.net/MV5BMTY0NTUyMDQwOV5BMl5BanBnXkFtZTgwNjAwMTA0MDE@._V1_UY268_CR9,0,182,268_AL_.jpg",Avengers Assemble: Season 2,"Animation, Action, Adventure",United States,N/A,23 min,2013,"Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, Bumper Robinson",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/8aKHwqY.jpg,The Avengers,"Action, Adventure, Sci-Fi",United States,Joss Whedon,142 min,2012,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Gwyneth Paltrow, Paul Bettany, Alexis Denisof","Storyline: Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster..."
"https://cdn.upmovies.net/MV5BMTY0NTUyMDQwOV5BMl5BanBnXkFtZTgwNjAwMTA0MDE@._V1_UY268_CR9,0,182,268_AL_.jpg",Avengers Assemble: Season 1,"Animation, Action, Adventure",United States,N/A,23 min,2013,"Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, Bumper Robinson",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/bVlurt1.jpg,Ultimate Avengers 2,"Animation, Action, Adventure, Fantasy, Sci-Fi",United States,"Will Meugniot, Dick Sebast",73 min,2006,"Justin Gross, Grey Griffin, Michael Massee","When the Chitauri invaders are sighted in the African kingdom of Wakanda, the Avengers covertly enter the advanced nation to investigate."
https://cdn.upmovies.net/EDMM1yg.jpg,The Avengers (1998),"Action, Adventure, Sci-Fi, Thriller",United States,Jeremiah S. Chechik,89 min,1998,"Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee, Jim Broadbent, Fiona Shaw, Eddie Izzard, Eileen Atkins, John Wood, Carmen Ejogo, Keeley Hawes, Shaun Ryder, Nicholas Woodeson, Michael Godley, Richard Lumsden","Storyline: British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful Doctor Mrs. Emma Peel, the only suspect, but simultaneously falls for her and joins forces with her to combat Sir August..."
https://cdn.upmovies.net/US0r6PE.jpg,Ultimate Avengers,"Animation, Action, Adventure, Sci-Fi",United States,"Curt Geda, Steven E. Gordon",72 min,2006,"Justin Gross, Grey DeLisle, Michael Massee, Marc Worden, Nan McNamara, Nolan North, Andre Ware","Storyline: In 1945, Captain America, U.S. soldier created with a Super-Soldier Serum, is fighting the Nazis during World War II, and after averting a nuclear disaster, he falls into the icy waters of the North Atlantic, and frozen in suspended animation, only to be revived in the twenty-first century by the American military, who are hoping that they can recreate the serum in Captain America's blood in order to create more super-soldiers. But now, with the world facing the very same evil, Captain America must rise again as our last hope of survival, and lead a strong-willed team of today's superheroes..."
